id,accountNumber,agentId,cpuType,hostName,hypervisor,osName,osVersion,smBiosId,type,state,creationTimeStamp,lastModifiedTimeStamp,agentProvidedTimeStamp
d-server-028a6ccda6428f77a,049450565398,,vCPU,NAIDCONBASESQL.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),4201a936-dee7-7906-1a19-4de12ac4bfd5,VMWARE_VM,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:33,
d-server-0ce97340f301db193,049450565398,,vCPU,na-us-idc2.omd.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),564d1610-3085-c301-42c3-dbe345fb8904,VMWARE_VM,ACTIVE,2018-06-22 17:18:24,2018-09-20 14:52:43,
d-server-031fee1eb7028a018,049450565398,,vCPU,Vancentral1.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2008 R2 (64-bit),564d69bc-f49f-7bbf-55f1-6ec3de0b4cda,VMWARE_VM,ACTIVE,2018-06-22 17:17:15,2018-09-20 14:52:42,
d-server-05487e76a158e3487,049450565398,,vCPU,ALDCAMTLWR201PD.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),564db4a2-858d-a0cf-b8bc-9a63b3491152,VMWARE_VM,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:41,
d-server-08163e7cfed8e5c5c,049450565398,,vCPU,FLSUSIDCONB01DV.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),4201bf6e-3ffe-475a-a23e-b060083fd48b,VMWARE_VM,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:33,
d-server-0300bc6c71ce402d7,049450565398,,vCPU,PHD-STORE-OLD.global.com,VMware ESXi,,,4201e0b1-18b7-f61d-0595-22c0e63f83ae,VMWARE_VM,ACTIVE,2018-06-22 17:17:21,2018-09-20 14:52:32,
d-server-0b1760a0e1d34042e,049450565398,,vCPU,,VMware ESXi,,Microsoft Windows Server 2008 R2 (64-bit),4201e7e0-5c95-6f95-e6fa-5eaaff42725d,VMWARE_VM,ACTIVE,2018-06-22 17:18:25,2018-09-20 14:52:37,
d-server-043667c1818a0c7eb,049450565398,,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,,VMware ESXi,vmnix-x86,VMware ESXi 5.5.0 build-3029944,38393737-3430-4d32-3235-303430324e43,VMWARE_HOST,ACTIVE,2018-06-22 17:17:12,2018-09-20 14:52:44,
d-server-04f63e82c8602034a,049450565398,,vCPU,CTXUSSECDSK06PD.global.com,VMware ESXi,windowsGuest,windows9Server64Guest,420110c8-1813-b214-3f67-f5448d7d4f04,VMWARE_VM,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:33,
d-server-032bc34b34350b018,049450565398,,vCPU,NMSUSIDCLIV01PD.global.com,VMware ESXi,windowsGuest,Microsoft Windows Server 2012 (64-bit),42010dce-20b8-6dfe-bc70-f1df2da65b35,VMWARE_VM,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:43,
d-server-02ff42026dc819a88,049450565398,,vCPU,CTXUSSECXDC01DV.global.com,VMware ESXi,windowsGuest,windows9Server64Guest,4201baf6-9950-9cad-0abd-88bb72c527f5,VMWARE_VM,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:33,
