accountNumber,applicationConfigurationId,configId,configType,creationTimeStamp
049450565398,d-application-0039038d504694533,d-server-03207b692c14edd9a,SERVER,2018-07-19 17:48:11
049450565398,d-application-0039038d504694533,d-server-035902a4c74e73ecd,SERVER,2018-07-19 17:48:11
049450565398,d-application-0039038d504694533,d-server-07582cc0f2c065741,SERVER,2018-07-19 17:48:11
049450565398,d-application-0039038d504694533,d-server-09c3613147289613c,SERVER,2018-07-19 17:48:11
049450565398,d-application-0039038d504694533,d-server-0b9da3bc5e0ea3dbe,SERVER,2018-07-19 17:48:11
