accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-01d71931f6c757aa0,vmnic1,f0:92:1c:10:dc:79,,,,,,,,ACTIVE,,
049450565398,d-server-01d71931f6c757aa0,vmnic0,f0:92:1c:10:dc:78,,,,,,,,ACTIVE,,
049450565398,d-server-01bbe764aef998218,,00:50:56:81:6b:87,,,,,NAIDCSandbox,NAIDCSandbox,NAIDCSandbox,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,,00:50:56:81:3e:73,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,,00:50:56:81:64:d8,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,vmnic0,1c:98:ec:2b:92:f0,,,,,,,,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,,00:50:56:81:00:46,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,vmnic1,1c:98:ec:2b:92:f1,,,,,,,,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,vmnic2,1c:98:ec:2b:92:f2,,,,,,,,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,vmnic3,1c:98:ec:2b:92:f3,,,,,,,,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,,00:50:56:81:00:52,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-0830e78121d7f5a46,vmnic2,00:25:b5:10:00:bf,,,,,,,,ACTIVE,,
049450565398,d-server-0830e78121d7f5a46,vmnic1,00:25:b5:10:00:cf,,,,,,,,ACTIVE,,
049450565398,d-server-0830e78121d7f5a46,vmnic0,00:25:b5:10:00:af,,,,,,,,ACTIVE,,
049450565398,d-server-0830e78121d7f5a46,vmnic3,00:25:b5:10:00:ef,,,,,,,,ACTIVE,,
049450565398,d-server-017e9267dcef353d3,,00:50:56:81:0a:4a,,,,,Trunk 102,Trunk 102,Trunk 102,ACTIVE,,
049450565398,d-server-08bf31e78909accda,,00:50:56:9b:44:50,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-0df465c530e0a3e73,,00:50:56:81:00:52,,,,,128 Subnet,128 Subnet,128 Subnet,ACTIVE,,
049450565398,d-server-0058058a815236cec,,00:50:56:9b:00:ef,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-077cd31c0051f258d,vmnic3,2c:76:8a:4e:0a:63,,,,,,,,ACTIVE,,
049450565398,d-server-077cd31c0051f258d,vmnic1,2c:76:8a:4e:0a:61,,,,,,,,ACTIVE,,
049450565398,d-server-077cd31c0051f258d,vmnic4,80:c1:6e:7e:9e:40,,,,,,,,ACTIVE,,
049450565398,d-server-077cd31c0051f258d,vmnic2,2c:76:8a:4e:0a:62,,,,,,,,ACTIVE,,
049450565398,d-server-077cd31c0051f258d,vmnic0,2c:76:8a:4e:0a:60,,,,,,,,ACTIVE,,
049450565398,d-server-077cd31c0051f258d,vmnic5,80:c1:6e:7e:9e:42,,,,,,,,ACTIVE,,
049450565398,d-server-0ae4b504ffeb17d6a,,00:50:56:81:45:0a,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0877316b60229952f,,00:50:56:81:34:00,,,,,Trunk 110,Trunk 110,Trunk 110,ACTIVE,,
049450565398,d-server-06089c231746c288f,,00:50:56:81:69:43,,,,,Trunk 100,Trunk 100,Trunk 100,ACTIVE,,
049450565398,d-server-0a1817196e95f7b21,,00:50:56:81:2a:04,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-0a1817196e95f7b21,,00:50:56:81:43:d1,,,,,VM Network,VM Network,VM Network,ACTIVE,,
