instanceType,instanceFamily,OS,ecu,memory,storage,physicalProcessor,ebsMbps,ebsIsUpTo,netGbps,netIsUpTo
c4.xlarge,Compute optimized,RHEL,16,7.5,EBS only,Intel Xeon E5-2666 v3 (Haswell),750.0,False,1.0,False
c4.4xlarge,Compute optimized,SUSE,62,30.0,EBS only,Intel Xeon E5-2666 v3 (Haswell),2000.0,False,1.0,False
c4.2xlarge,Compute optimized,SUSE,31,15.0,EBS only,Intel Xeon E5-2666 v3 (Haswell),1000.0,False,1.0,False
m5.24xlarge,General purpose,Linux,345,384.0,EBS only,Intel Xeon Platinum 8175,12000.0,False,25.0,False
g3.8xlarge,GPU instance,Windows,94,244.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),7000.0,False,10.0,False
c5.2xlarge,Compute optimized,RHEL,34,16.0,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
r4.large,Memory optimized,Linux,7,15.25,EBS only,Intel Xeon E5-2686 v4 (Broadwell),400.0,False,10.0,True
r4.8xlarge,Memory optimized,RHEL,99,244.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),6000.0,False,10.0,False
r4.large,Memory optimized,RHEL,7,15.25,EBS only,Intel Xeon E5-2686 v4 (Broadwell),400.0,False,10.0,True
m4.xlarge,General purpose,Linux,13,16.0,EBS only,Intel Xeon E5-2676 v3 (Haswell),750.0,False,1.0,False
m5.xlarge,General purpose,RHEL,16,16.0,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
c4.xlarge,Compute optimized,Linux,16,7.5,EBS only,Intel Xeon E5-2666 v3 (Haswell),750.0,False,1.0,False
c4.large,Compute optimized,Linux,8,3.75,EBS only,Intel Xeon E5-2666 v3 (Haswell),500.0,False,0.3,False
m4.16xlarge,General purpose,Windows,188,256.0,EBS only,Intel Xeon E5-2686 v4 (Broadwell),10000.0,False,20.0,False
c5.9xlarge,Compute optimized,RHEL,141,72.0,EBS only,Intel Xeon Platinum 8124M,4500.0,False,10.0,False
c4.4xlarge,Compute optimized,Windows,62,30.0,EBS only,Intel Xeon E5-2666 v3 (Haswell),2000.0,False,1.0,False
