,instanceType,instanceFamily,OS,ecu,vcpu,memory,normSizeFactor,storage,physicalProcessor,ebsMbps,ebsIsUpTo,netGbps,netIsUpTo
15537,p3.16xlarge,GPU instance,Windows,188.0,64,488.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),14000.0,False,25.0,False
15784,c5.9xlarge,Compute optimized,Windows,141.0,36,72.0,72,EBS only,Intel Xeon Platinum 8124M,4500.0,False,10.0,False
16490,p2.16xlarge,GPU instance,Windows,188.0,64,768.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),,False,20.0,False
17003,c4.4xlarge,Compute optimized,RHEL,62.0,16,30.0,32,EBS only,Intel Xeon E5-2666 v3 (Haswell),2000.0,False,1.0,False
17266,r4.8xlarge,Memory optimized,Windows,99.0,32,244.0,64,EBS only,Intel Xeon E5-2686 v4 (Broadwell),6000.0,False,10.0,False
17333,m4.large,General purpose,Windows,6.5,2,8.0,4,EBS only,Intel Xeon E5-2676 v3 (Haswell),450.0,False,0.3,False
17663,c4.xlarge,Compute optimized,RHEL,16.0,4,7.5,8,EBS only,Intel Xeon E5-2666 v3 (Haswell),750.0,False,1.0,False
17799,c4.4xlarge,Compute optimized,SUSE,62.0,16,30.0,32,EBS only,Intel Xeon E5-2666 v3 (Haswell),2000.0,False,1.0,False
17939,c4.2xlarge,Compute optimized,SUSE,31.0,8,15.0,16,EBS only,Intel Xeon E5-2666 v3 (Haswell),1000.0,False,1.0,False
18535,m5.24xlarge,General purpose,Linux,345.0,96,384.0,192,EBS only,Intel Xeon Platinum 8175,12000.0,False,25.0,False
19054,g3.8xlarge,GPU instance,Windows,94.0,32,244.0,64,EBS only,Intel Xeon E5-2686 v4 (Broadwell),7000.0,False,10.0,False
19191,c5.2xlarge,Compute optimized,RHEL,34.0,8,16.0,16,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
19803,r4.large,Memory optimized,Linux,7.0,2,15.25,4,EBS only,Intel Xeon E5-2686 v4 (Broadwell),400.0,False,10.0,True
19886,r4.8xlarge,Memory optimized,RHEL,99.0,32,244.0,64,EBS only,Intel Xeon E5-2686 v4 (Broadwell),6000.0,False,10.0,False
20497,r4.large,Memory optimized,RHEL,7.0,2,15.25,4,EBS only,Intel Xeon E5-2686 v4 (Broadwell),400.0,False,10.0,True
20648,m4.xlarge,General purpose,Linux,13.0,4,16.0,8,EBS only,Intel Xeon E5-2676 v3 (Haswell),750.0,False,1.0,False
20859,m5.xlarge,General purpose,RHEL,16.0,4,16.0,8,EBS only,Intel Xeon Platinum 8175,2120.0,True,10.0,True
20926,c4.xlarge,Compute optimized,Linux,16.0,4,7.5,8,EBS only,Intel Xeon E5-2666 v3 (Haswell),750.0,False,1.0,False
21728,c4.large,Compute optimized,Linux,8.0,2,3.75,4,EBS only,Intel Xeon E5-2666 v3 (Haswell),500.0,False,0.3,False
21758,m4.16xlarge,General purpose,Windows,188.0,64,256.0,128,EBS only,Intel Xeon E5-2686 v4 (Broadwell),10000.0,False,20.0,False
21858,c5.9xlarge,Compute optimized,RHEL,141.0,36,72.0,72,EBS only,Intel Xeon Platinum 8124M,4500.0,False,10.0,False
22500,c4.4xlarge,Compute optimized,Windows,62.0,16,30.0,32,EBS only,Intel Xeon E5-2666 v3 (Haswell),2000.0,False,1.0,False
22653,m5.12xlarge,General purpose,Windows,173.0,48,192.0,96,EBS only,Intel Xeon Platinum 8175,6000.0,False,10.0,False
23000,m5.4xlarge,General purpose,RHEL,60.0,16,64.0,32,EBS only,Intel Xeon Platinum 8175,2120.0,False,10.0,True
23250,p3.2xlarge,GPU instance,Windows,26.0,8,61.0,16,EBS only,Intel Xeon E5-2686 v4 (Broadwell),1750.0,False,10.0,True
23443,m5.12xlarge,General purpose,Linux,173.0,48,192.0,96,EBS only,Intel Xeon Platinum 8175,6000.0,False,10.0,False
23618,c5.large,Compute optimized,Windows,9.0,2,4.0,4,EBS only,Intel Xeon Platinum 8124M,2250.0,True,10.0,True
