accountNumber,serverId,avgDiskBytesReadPerSecond,avgDiskBytesWrittenPerSecond,avgDiskReadOpsPerSecond,avgDiskWriteOpsPerSecond,avgNetworkBytesReadPerSecond,avgNetworkBytesWrittenPerSecond,maxDiskBytesReadPerSecond,maxDiskBytesWrittenPerSecond,maxDiskReadOpsPerSecond,maxDiskWriteOpsPerSecond,maxNetworkBytesReadPerSecond,maxNetworkBytesWrittenPerSecond,numCores,numCpus,numDisks,numNetworkCards,avgCpuUsagePct,maxCpuUsagePct,totalCpuReservation,totalDiskSize,totalDiskFreeSize,totalRAM,avgFreeRAM,minFreeRAM,memoryReservation,powerState,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-0c9c4908d08c6343b,3672.330978434813,10735.52759777158,,,,,1689600.0,2718720.0,,,,,,2,,,0.2709780637260583,19.67,0.0,6.442450944E10,,8.589934592E9,8.7959731094528E12,8.795869208576E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:23,2018-09-20 14:52:40
049450565398,d-server-0e8adbd63ee99da58,32502.509857382185,341354.93685197184,,,,,1275904.0,2451456.0,,,,,,2,,,8.103720527656286,38.76,0.0,6.442450944E10,,8.589934592E9,8.793882173184E12,8.793432544256E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:33,2018-09-20 14:53:34
049450565398,d-server-08b4a640562bd6c77,136979.94886143386,121548.79399009705,,,,,3210240.0,3093504.0,,,,,,2,,,2.907923519939944,25.64,0.0,8.589934592E10,,4.294967296E9,4.397204122228364E12,4.39703027712E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:33
049450565398,d-server-0eddded42e7d20fe1,1.70287079633927E7,236556.6653919692,,,,,5.38005504E8,5329920.0,,,,,,2,,,23.829569557630567,79.63,0.0,6.442450944E10,,8.589934592E9,8.7907171536384E12,8.789945018368E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:14,2018-09-20 14:52:42
049450565398,d-server-02ffaf6addc925b24,,,,,,,,,,,,,,,,,,,,6.442450944E10,,4.294967296E9,,,0.0,POWER_OFF,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:53:31
049450565398,d-server-0918692098e99afc4,,,,,,,,,,,,,,,,,,,,4.294967296E10,,4.294967296E9,,,0.0,POWER_OFF,ACTIVE,2018-06-22 17:18:34,2018-07-31 14:58:19
049450565398,d-server-0e5b30e7b57da48c3,133499.8982898518,265741.446862012,,,,,6734848.0,9657344.0,,,,,,2,,,5.8492447118127116,38.47,0.0,4.294967296E11,,8.589934592E9,8.794865220096E12,8.794457119744E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:33
049450565398,d-server-06a50e9c78e602d3e,2.2888299897411145E7,4.6981376960687175E7,,,,,1.6154112E8,3.4388992E8,,,,,,4,,,14.846876359710356,67.05,0.0,7.516192768E10,,8.34666496E9,8.546837986187637E12,8.546705772544E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:25,2018-09-20 14:52:43
049450565398,d-server-0a5047fd7bd7911ed,1050.5845976478506,490781.4239792952,,,,,1072128.0,1.1283456E7,,,,,,8,,,1.344869373052246,68.49,0.0,1.610612736E11,,3.4359738368E10,3.5183639258414547E13,3.5183423379456E13,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:32
049450565398,d-server-05ea4768662584f71,17770.631536466895,377652.8864870888,,,,,4190208.0,6125568.0,,,,,,2,,,10.228476382207917,51.94,0.0,3.221225472E11,,2.147483648E10,2.1988669772544E13,2.198702803456E13,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:24,2018-09-20 14:52:43
049450565398,d-server-09a7c6b226f793296,,,,,,,,,,,,,,,,,,,,1.048576E7,,3.4359738368E10,,,0.0,POWER_OFF,ACTIVE,2018-06-22 17:18:25,2018-07-10 13:36:03
049450565398,d-server-0c03d97622e7bcc30,14399.376265777279,183522.3505072388,,,,,3302400.0,1956864.0,,,,,,4,,,10.228427705156792,21.94,0.0,6.442450944E10,,8.589934592E9,8.794498048814546E12,8.79427195904E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41
049450565398,d-server-0b7c1dd74eedbfa30,14397.320110029283,46291.01157348355,,,,,1406976.0,1519616.0,,,,,,2,,,0.5244519642451253,2.5,0.0,6.442450944E10,,4.294967296E9,4.3977835327744E12,4.397730356224E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40
049450565398,d-server-09c9f3542f0072bb7,36984.889845485945,163994.11193112517,,,,,2678784.0,2365440.0,,,,,,2,,,6.669899578576767,31.71,0.0,1.073741824E11,,6.442450944E9,6.595925797236363E12,6.59568374272E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41
049450565398,d-server-01a362d0ef7280fd9,136459.625028412,342399.8450312884,,,,,4107264.0,7354368.0,,,,,,1,,,10.434539751088925,46.83,0.0,5.36870912E10,,4.294967296E9,4.3970362245818184E12,4.39629229568E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:28,2018-09-20 14:52:41
049450565398,d-server-01692841f440756de,4.6698950936694875E7,7159252.824871093,,,1382634.0773709386,3.0403419902925927E7,2.64271872E8,1.0055168E8,,,3.1613952E7,1.82788096E8,24,2,33,2,234.53782791042084,883.8,,1.6393972187136E14,,,,,,POWER_ON,ACTIVE,2018-06-22 17:17:13,2018-09-20 14:52:39
049450565398,d-server-035fde6851682af01,33296.74915683344,154000.6658916015,,,,,4598784.0,1.1338752E7,,,,,,1,,,5.095228623248336,74.33,0.0,6.442450944E10,,4.294967296E9,4.397209408512E12,4.397044274176E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:17,2018-09-20 14:52:42
049450565398,d-server-0d5ce8150c7dd2c6d,728.7946970716068,52386.7610852634,,,,,70656.0,1720320.0,,,,,,2,,,0.35613063540511875,1.32,0.0,6.442450944E10,,4.294967296E9,4.3979134775296E12,4.397868033024E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40
049450565398,d-server-0beb5c2741b1a72ce,132661.8945178829,199777.0770523699,,,,,3867648.0,5772288.0,,,,,,2,,,3.600911790242973,27.74,0.0,6.442450944E10,,4.294967296E9,4.3973878937344E12,4.397081465856E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:16,2018-09-20 14:52:42
049450565398,d-server-00061df28a3e84433,61527.610166697916,111502.74642922379,,,,,1.3535232E7,2227200.0,,,,,,4,,,6.15447773846803,11.92,0.0,1.2884901888E11,,4.294967296E9,4.397768446414853E12,,0.0,POWER_OFF,ACTIVE,2018-06-22 17:18:37,2018-09-20 14:53:31
049450565398,d-server-0a9da75b77fdf7ccd,56235.13242089176,193152.57002022484,,,,,2769920.0,2583552.0,,,,,,2,,,8.769036730604936,40.4,0.0,5.36870912E10,,4.294967296E9,4.397171026850909E12,4.396690496512E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:33
049450565398,d-server-09a9c70cc95fe8837,36979.98993778235,1356664.4272990813,,,,,9457664.0,6398976.0,,,,,,2,,,18.530317788496983,48.82,0.0,6.442450944E10,,8.589934592E9,8.794460491729454E12,8.794281980928E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:33,2018-09-20 14:53:34
049450565398,d-server-070ed03c671a73d40,3222.460599235386,519572.43195945246,,,,,3769344.0,1.1563008E7,,,,,,8,,,1.0467449806582985,90.2,0.0,1.610612736E11,,3.4359738368E10,3.5183608788224E13,3.518337756672E13,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:32
049450565398,d-server-0328c1cecc3dbd595,32975.43797968078,161415.57384874337,,,,,2626560.0,2442240.0,,,,,,2,,,5.2222214054445875,41.3,0.0,5.36870912E10,,4.294967296E9,4.397212545163636E12,4.396797155328E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:36,2018-09-20 14:53:33
049450565398,d-server-00571831ba1984b95,32334.822074506355,84232.3041854727,,,,,1431552.0,643072.0,,,,,,2,,,4.984942503676153,13.32,0.0,4.294967296E10,,4.294967296E9,4.3973452500945454E12,4.397123811328E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:29,2018-09-20 14:52:42
049450565398,d-server-01760269f9c5798c8,3406178.9980879556,839370.9741780976,,,,,2.75955712E8,3.0209024E7,,,,,,2,,,17.20758031056821,84.74,0.0,1.610612736E11,,3.4359738368E10,3.51827049860864E13,3.5180019857408E13,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:15,2018-09-20 14:52:41
049450565398,d-server-0146207700878b6d1,6220955.210321045,9799904.51161673,,,4076982.9411308095,4330870.2047575945,1.09748224E8,1.23583488E8,,,8.9367552E7,1.04578048E8,24,2,33,2,224.36583128477076,1183.77,,1.6393972187136E14,,,,,,POWER_ON,ACTIVE,2018-06-22 17:17:12,2018-09-20 14:52:43
049450565398,d-server-0f42afceac09c42a9,177211.5992206409,566558.258674075,,,,,4315136.0,3458048.0,,,,,,2,,,11.334618581284074,50.66,3600.0,1.7179869184E11,,6.442450944E9,6.595606723281454E12,6.595429807104E12,6.442450944E9,POWER_ON,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:52:41
049450565398,d-server-0e3b3b794959e544d,276.21777631401915,674.6785540335544,,,,,58368.0,61440.0,,,,,,2,,,0.20342538002310073,0.25,0.0,6.442450944E10,,8.589934592E9,8.796047978496E12,8.796012402688E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:24,2018-09-20 14:52:40
049450565398,d-server-01ce9b23aa20454fa,88189.98028550754,197329.0665874624,,,,,2647040.0,5876736.0,,,,,,2,,,6.049244080547256,37.85,0.0,8.589934592E9,,4.294967296E9,4.3972719545856E12,4.39705366016E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:17,2018-09-20 14:52:41
049450565398,d-server-01c2e2b636e70dced,69325.36382486243,173360.35083194554,,,,,3293184.0,1956864.0,,,,,,2,,,3.465466122627901,30.9,0.0,7.516192768E10,,4.294967296E9,4.397179329186909E12,4.396991860736E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:17,2018-09-20 14:52:41
049450565398,d-server-0c5287cac59d596b7,,,,,,,,,,,,,,,,,,,,6.442450944E10,,4.294967296E9,,,0.0,POWER_OFF,ACTIVE,2018-06-22 17:17:15,2018-09-20 14:52:37
049450565398,d-server-039c5ba7b591110b0,2813670.4828478894,239376.20659821678,,,,,7.6640256E7,2589696.0,,,,,,4,,,13.525669786500874,33.94,0.0,8.589934592E10,,1.9327352832E10,1.97816021530368E13,1.9780466965504E13,0.0,POWER_ON,ACTIVE,2018-06-22 17:17:23,2018-09-20 14:52:40
049450565398,d-server-02df79927824247c3,4.403248924988064,19563.734723697562,,,,,2048.0,45056.0,,,,,,4,,,0.9917317433516243,1.22,0.0,1.2884901888E10,,4.294967296E9,4.3976429470021816E12,4.397605086208E12,0.0,POWER_ON,ACTIVE,2018-06-22 17:18:35,2018-09-20 14:52:41
